PRODUCT_CONFIGURATION_ID,SALES_DOC,SALESDOC_CREATION_DATE(YYYYMMDD),SALES_DOC_ITEM,SALES_DOC_CAT,CONFIG_PRODUCT,IQ_MAX_PAL_WEIGHT,IQ_PALLET_MOVE,IQ_CUST_PRIO,IQ_MIN_ISLE_WIDTH,IQ_SURFACE,IQ_WH_CL_HEIGHT,IQ_WH_SIZE,IQ_MAX_RACK_HEIGHT,IQ_WH_NOISE,AVC_CR_COUNTERWEIGHT_VXX,AVC_CR_POWERSOURCE_VXX,AVC_CR_FORKSIZE_VXX,AVC_CR_WHEELTYPE_VXX,LEAD_TIME,UNIT_NET_PRICE,UNIT_GROSS_PRICE,UNIT_COGS,CURRENCY
32642,21443,20221130,10,C,FL001_P0,1000,10,ENVIRON_IMPACT,10,SM,25,75000,20,NO,3000,ELEC,S,P,4,0,0,0,GBP
32752,21498,20221130,10,C,FL001_P0,500,10,OPERATING_COSTS,10,SM,50,75000,35,NO,2000,COMB,M,C,4,0,0,0,GBP
32896,21570,20221130,10,C,FL001_P0,1000,10,OPERATING_COSTS,10,GR,75,75000,35,NO,3000,COMB,L,P,2,0,0,0,GBP
31918,21081,20221130,10,C,FL001_P0,1000,25,LEAD_TIME,10,AS,25,20000,10,NO,3000,COMB,M,P,5,0,0,0,GBP
34390,22317,20221130,10,C,FL001_P0,100,10,OPERATING_COSTS,10,AS,75,75000,35,NO,3000,COMB,M,P,3,0,0,0,GBP
34106,22175,20221130,10,C,FL001_P0,1000,10,OPERATING_COSTS,10,AS,75,75000,35,YES,3000,ELEC,L,P,5,0,0,0,GBP
31348,20796,20221130,10,C,FL001_P0,100,10,LEAD_TIME,10,GR,50,75000,35,NO,3000,COMB,L,P,6,0,0,0,GBP
32236,21240,20221130,10,C,FL001_P0,1000,50,LEAD_TIME,10,GR,50,50000,25,NO,5000,ELEC,M,P,1,0,0,0,GBP
34326,22285,20221130,10,C,FL001_P0,1000,50,OPERATING_COSTS,10,AS,75,50000,35,NO,3000,COMB,L,P,3,0,0,0,GBP
31568,20906,20221130,10,C,FL001_P0,1000,10,ENVIRON_IMPACT,10,AS,75,75000,35,NO,5000,COMB,M,P,4,0,0,0,GBP
33742,21993,20221130,10,C,FL001_P0,1000,10,LEAD_TIME,10,GR,75,50000,25,NO,3000,ELEC,L,P,0,0,0,0,GBP
33070,21657,20221130,10,C,FL001_P0,500,10,OPERATING_COSTS,10,AS,75,75000,35,NO,3000,COMB,M,P,9,0,0,0,GBP
33962,22103,20221130,10,C,FL001_P0,500,10,LEAD_TIME,5,GR,75,75000,25,NO,2000,COMB,L,P,8,0,0,0,GBP
33290,21767,20221130,10,C,FL001_P0,500,10,LEAD_TIME,10,GR,75,75000,35,NO,2000,COMB,L,P,5,0,0,0,GBP
34884,22564,20221130,10,C,FL001_P0,1000,25,OPERATING_COSTS,10,AS,50,50000,35,NO,3000,ELEC,L,P,3,0,0,0,GBP
32182,21213,20221130,10,C,FL001_P0,1000,10,ENVIRON_IMPACT,10,AS,75,75000,35,NO,5000,ELEC,L,P,0,0,0,0,GBP
34850,22547,20221130,10,C,FL001_P0,100,25,OPERATING_COSTS,10,GR,75,50000,20,NO,3000,COMB,L,P,6,0,0,0,GBP
33302,21773,20221130,10,C,FL001_P0,1000,25,OPERATING_COSTS,7,GR,75,20000,35,NO,3000,ELEC,L,P,1,0,0,0,GBP
31432,20838,20221130,10,C,FL001_P0,100,10,LEAD_TIME,7,SM,25,75000,20,NO,3000,COMB,L,C,0,0,0,0,GBP
35028,22636,20221130,10,C,FL001_P0,100,10,LEAD_TIME,10,SM,75,75000,25,NO,5000,COMB,L,C,0,0,0,0,GBP
32998,21621,20221130,10,C,FL001_P0,50,10,LEAD_TIME,10,AS,50,75000,35,NO,3000,COMB,M,P,1,0,0,0,GBP
32304,21274,20221130,10,C,FL001_P0,100,10,LEAD_TIME,10,AS,75,75000,20,NO,5000,ELEC,L,P,1,0,0,0,GBP
34588,22416,20221130,10,C,FL001_P0,100,50,OPERATING_COSTS,7,GR,75,50000,35,NO,3000,ELEC,M,P,5,0,0,0,GBP
32888,21566,20221130,10,C,FL001_P0,100,50,LEAD_TIME,10,AS,75,50000,35,NO,2000,COMB,L,P,4,0,0,0,GBP
34224,22234,20221130,10,C,FL001_P0,1000,50,LEAD_TIME,10,AS,50,50000,25,NO,5000,COMB,M,P,6,0,0,0,GBP
34334,22289,20221130,10,C,FL001_P0,500,10,LEAD_TIME,10,AS,75,75000,25,NO,3000,COMB,M,P,2,0,0,0,GBP
32448,21346,20221130,10,C,FL001_P0,1000,10,OPERATING_COSTS,5,AS,75,75000,20,YES,5000,ELEC,L,P,8,0,0,0,GBP
31576,20910,20221130,10,C,FL001_P0,1000,10,LEAD_TIME,10,GR,75,75000,25,NO,5000,COMB,S,P,6,0,0,0,GBP
32558,21401,20221130,10,C,FL001_P0,500,10,LEAD_TIME,10,AS,25,75000,20,NO,3000,COMB,M,P,8,0,0,0,GBP
31466,20855,20221130,10,C,FL001_P0,1000,10,LEAD_TIME,7,GR,75,75000,35,NO,3000,COMB,M,P,8,0,0,0,GBP
33200,21722,20221130,10,C,FL001_P0,1000,10,LEAD_TIME,10,AS,25,75000,20,NO,3000,ELEC,L,P,5,0,0,0,GBP
32008,21126,20221130,10,C,FL001_P0,1000,10,LEAD_TIME,7,GR,50,75000,35,NO,5000,COMB,S,P,8,0,0,0,GBP
31610,20927,20221130,10,C,FL001_P0,100,50,OPERATING_COSTS,10,GR,75,50000,35,NO,2000,COMB,L,P,9,0,0,0,GBP
33282,21763,20221130,10,C,FL001_P0,1000,50,OPERATING_COSTS,10,AS,75,50000,25,NO,3000,COMB,L,P,5,0,0,0,GBP
31720,20982,20221130,10,C,FL001_P0,500,10,OPERATING_COSTS,10,SM,75,75000,25,NO,3000,COMB,L,C,3,0,0,0,GBP
33894,22069,20221130,10,C,FL001_P0,50,50,LEAD_TIME,10,AS,75,20000,35,NO,3000,COMB,M,P,1,0,0,0,GBP
34478,22361,20221130,10,C,FL001_P0,100,25,LEAD_TIME,10,GR,75,50000,20,NO,2000,COMB,L,P,5,0,0,0,GBP
31864,21054,20221130,10,C,FL001_P0,1000,50,LEAD_TIME,10,AS,75,50000,25,NO,3000,COMB,S,P,5,0,0,0,GBP
33750,21997,20221130,10,C,FL001_P0,1000,10,LEAD_TIME,10,AS,75,75000,25,NO,3000,COMB,L,P,6,0,0,0,GBP
34148,22196,20221130,10,C,FL001_P0,500,10,LEAD_TIME,7,GR,50,50000,35,NO,2000,COMB,M,P,8,0,0,0,GBP
31534,20889,20221130,10,C,FL001_P0,500,25,LEAD_TIME,7,AS,75,50000,35,YES,3000,ELEC,M,P,5,0,0,0,GBP
34436,22340,20221130,10,C,FL001_P0,500,10,LEAD_TIME,10,GR,50,75000,10,YES,5000,ELEC,M,P,4,0,0,0,GBP
33014,21629,20221130,10,C,FL001_P0,100,25,ENVIRON_IMPACT,7,SM,75,50000,25,NO,5000,ELEC,L,C,6,0,0,0,GBP
32786,21515,20221130,10,C,FL001_P0,500,25,OPERATING_COSTS,7,GR,50,50000,35,YES,2000,ELEC,M,P,2,0,0,0,GBP
32930,21587,20221130,10,C,FL001_P0,500,50,OPERATING_COSTS,10,AS,75,50000,25,NO,5000,COMB,S,P,8,0,0,0,GBP
31678,20961,20221130,10,C,FL001_P0,1000,50,OPERATING_COSTS,10,AS,50,20000,25,NO,3000,ELEC,S,P,1,0,0,0,GBP
33768,22006,20221130,10,C,FL001_P0,1000,10,LEAD_TIME,10,AS,50,75000,25,NO,5000,COMB,L,P,0,0,0,0,GBP
35104,22674,20221130,10,C,FL001_P0,1000,50,LEAD_TIME,10,AS,75,50000,25,YES,3000,COMB,M,P,4,0,0,0,GBP
32346,21295,20221130,10,C,FL001_P0,1000,25,LEAD_TIME,5,GR,75,50000,10,NO,2000,COMB,L,P,1,0,0,0,GBP
33454,21849,20221130,10,C,FL001_P0,1000,25,OPERATING_COSTS,10,AS,75,50000,35,YES,3000,ELEC,L,P,0,0,0,0,GBP
33852,22048,20221130,10,C,FL001_P0,500,10,LEAD_TIME,7,SM,50,75000,35,NO,5000,COMB,L,C,6,0,0,0,GBP
34774,22509,20221130,10,C,FL001_P0,1000,10,LEAD_TIME,10,AS,75,50000,20,NO,3000,COMB,L,P,0,0,0,0,GBP
34162,22203,20221130,10,C,FL001_P0,100,25,LEAD_TIME,10,AS,75,50000,35,NO,5000,COMB,S,P,8,0,0,0,GBP
32744,21494,20221130,10,C,FL001_P0,1000,10,LEAD_TIME,7,SM,75,75000,35,YES,3000,ELEC,L,P,9,0,0,0,GBP
32072,21158,20221130,10,C,FL001_P0,500,10,LEAD_TIME,5,AS,75,75000,35,NO,3000,COMB,M,P,1,0,0,0,GBP
32870,21557,20221130,10,C,FL001_P0,1000,10,OPERATING_COSTS,10,GR,75,75000,35,NO,3000,COMB,M,P,1,0,0,0,GBP
34960,22602,20221130,10,C,FL001_P0,1000,10,LEAD_TIME,10,AS,75,75000,20,NO,2000,COMB,L,P,5,0,0,0,GBP
31322,20783,20221130,10,C,FL001_P0,500,10,OPERATING_COSTS,10,GR,25,75000,20,NO,5000,COMB,L,P,3,0,0,0,GBP
33412,21828,20221130,10,C,FL001_P0,1000,25,OPERATING_COSTS,10,AS,75,50000,35,NO,3000,ELEC,S,P,4,0,0,0,GBP
32430,21337,20221130,10,C,FL001_P0,1000,10,OPERATING_COSTS,10,AS,75,75000,35,NO,5000,ELEC,S,P,7,0,0,0,GBP
32064,21154,20221130,10,C,FL001_P0,1000,10,LEAD_TIME,10,AS,25,75000,20,YES,2000,ELEC,L,P,1,0,0,0,GBP
31636,20940,20221130,10,C,FL001_P0,500,10,LEAD_TIME,10,AS,75,75000,25,NO,3000,ELEC,L,P,2,0,0,0,GBP
35036,22640,20221130,10,C,FL001_P0,100,25,ENVIRON_IMPACT,7,AS,75,50000,20,NO,5000,ELEC,M,P,1,0,0,0,GBP
35146,22695,20221130,10,C,FL001_P0,1000,10,OPERATING_COSTS,10,AS,50,20000,25,NO,2000,COMB,M,P,5,0,0,0,GBP
32174,21209,20221130,10,C,FL001_P0,1000,10,LEAD_TIME,5,AS,75,75000,20,YES,3000,ELEC,S,P,7,0,0,0,GBP
34538,22391,20221130,10,C,FL001_P0,1000,10,OPERATING_COSTS,7,AS,75,75000,25,NO,5000,COMB,L,P,9,0,0,0,GBP
32354,21299,20221130,10,C,FL001_P0,1000,10,LEAD_TIME,10,AS,75,75000,10,YES,3000,ELEC,L,P,1,0,0,0,GBP
35112,22678,20221130,10,C,FL001_P0,1000,10,LEAD_TIME,10,AS,75,75000,35,YES,3000,ELEC,M,P,3,0,0,0,GBP
34318,22281,20221130,10,C,FL001_P0,500,10,OPERATING_COSTS,10,AS,75,75000,20,NO,3000,COMB,L,P,8,0,0,0,GBP
34672,22458,20221130,10,C,FL001_P0,1000,10,LEAD_TIME,10,AS,75,75000,35,NO,3000,COMB,M,P,2,0,0,0,GBP
31330,20787,20221130,10,C,FL001_P0,100,10,ENVIRON_IMPACT,10,SM,50,75000,35,NO,5000,ELEC,L,C,9,0,0,0,GBP
33914,22079,20221130,10,C,FL001_P0,1000,10,OPERATING_COSTS,10,AS,50,75000,35,NO,3000,COMB,S,P,4,0,0,0,GBP
34892,22568,20221130,10,C,FL001_P0,1000,10,OPERATING_COSTS,7,GR,75,50000,25,NO,3000,COMB,S,P,1,0,0,0,GBP
33804,22024,20221130,10,C,FL001_P0,1000,10,ENVIRON_IMPACT,10,SM,50,75000,20,NO,3000,ELEC,S,C,8,0,0,0,GBP
33514,21879,20221130,10,C,FL001_P0,1000,50,OPERATING_COSTS,7,GR,75,50000,25,NO,3000,ELEC,L,P,1,0,0,0,GBP
32388,21316,20221130,10,C,FL001_P0,1000,10,LEAD_TIME,10,GR,25,20000,20,NO,2000,COMB,M,P,6,0,0,0,GBP
32278,21261,20221130,10,C,FL001_P0,100,25,LEAD_TIME,10,SM,50,20000,20,YES,3000,COMB,L,C,3,0,0,0,GBP
31550,20897,20221130,10,C,FL001_P0,1000,25,LEAD_TIME,10,AS,50,50000,35,NO,3000,COMB,L,P,3,0,0,0,GBP
32806,21525,20221130,10,C,FL001_P0,1000,10,ENVIRON_IMPACT,7,GR,50,75000,35,NO,3000,ELEC,L,P,0,0,0,0,GBP
33384,21814,20221130,10,C,FL001_P0,1000,50,OPERATING_COSTS,10,AS,75,20000,25,YES,5000,ELEC,M,P,5,0,0,0,GBP
33164,21704,20221130,10,C,FL001_P0,100,10,LEAD_TIME,7,GR,50,75000,35,NO,3000,ELEC,L,P,3,0,0,0,GBP
34486,22365,20221130,10,C,FL001_P0,100,25,LEAD_TIME,10,GR,75,50000,35,NO,5000,COMB,L,P,7,0,0,0,GBP
33878,22061,20221130,10,C,FL001_P0,1000,25,ENVIRON_IMPACT,10,AS,75,20000,35,NO,3000,ELEC,M,P,1,0,0,0,GBP
34012,22128,20221130,10,C,FL001_P0,1000,10,LEAD_TIME,10,AS,75,50000,35,NO,3000,ELEC,M,P,3,0,0,0,GBP
34492,22368,20221130,10,C,FL001_P0,1000,10,ENVIRON_IMPACT,10,GR,75,75000,25,NO,3000,ELEC,L,P,3,0,0,0,GBP
32360,21302,20221130,10,C,FL001_P0,500,10,LEAD_TIME,10,AS,75,75000,35,YES,5000,ELEC,L,P,0,0,0,0,GBP
33462,21853,20221130,10,C,FL001_P0,1000,25,OPERATING_COSTS,10,SM,75,50000,35,YES,5000,COMB,L,C,9,0,0,0,GBP
34904,22574,20221130,10,C,FL001_P0,500,25,LEAD_TIME,10,AS,25,20000,10,NO,3000,ELEC,L,P,4,0,0,0,GBP
33598,21921,20221130,10,C,FL001_P0,1000,25,ENVIRON_IMPACT,7,GR,75,50000,35,YES,2000,ELEC,L,P,5,0,0,0,GBP
33378,21811,20221130,10,C,FL001_P0,1000,10,LEAD_TIME,10,AS,50,75000,25,NO,5000,COMB,L,P,0,0,0,0,GBP
34086,22165,20221130,10,C,FL001_P0,1000,10,OPERATING_COSTS,10,SM,75,75000,35,NO,3000,COMB,M,C,0,0,0,0,GBP
34938,22591,20221130,10,C,FL001_P0,100,10,LEAD_TIME,10,AS,50,75000,35,NO,3000,ELEC,L,P,3,0,0,0,GBP
34724,22484,20221130,10,C,FL001_P0,1000,50,ENVIRON_IMPACT,10,AS,75,50000,25,NO,3000,ELEC,M,P,2,0,0,0,GBP
33276,21760,20221130,10,C,FL001_P0,500,25,LEAD_TIME,7,AS,75,50000,20,NO,3000,COMB,M,P,6,0,0,0,GBP
33906,22075,20221130,10,C,FL001_P0,1000,10,OPERATING_COSTS,10,GR,75,75000,35,NO,5000,COMB,L,P,0,0,0,0,GBP
32668,21456,20221130,10,C,FL001_P0,1000,25,LEAD_TIME,7,GR,50,50000,25,NO,3000,COMB,M,P,0,0,0,0,GBP
32778,21511,20221130,10,C,FL001_P0,1000,10,LEAD_TIME,7,AS,50,75000,35,YES,3000,COMB,L,P,9,0,0,0,GBP
34484,22364,20221130,10,C,FL001_P0,500,50,LEAD_TIME,7,AS,50,20000,35,NO,3000,ELEC,M,P,9,0,0,0,GBP
31830,21037,20221130,10,C,FL001_P0,1000,10,LEAD_TIME,5,AS,75,75000,10,NO,3000,COMB,M,P,8,0,0,0,GBP
34004,22124,20221130,10,C,FL001_P0,500,50,OPERATING_COSTS,7,GR,75,50000,35,NO,2000,COMB,M,P,8,0,0,0,GBP
33172,21708,20221130,10,C,FL001_P0,500,50,OPERATING_COSTS,10,GR,75,50000,25,NO,2000,COMB,M,P,8,0,0,0,GBP
33062,21653,20221130,10,C,FL001_P0,500,25,OPERATING_COSTS,10,AS,75,50000,25,NO,2000,ELEC,L,P,9,0,0,0,GBP
31754,20999,20221130,10,C,FL001_P0,500,25,ENVIRON_IMPACT,10,AS,50,50000,25,NO,3000,ELEC,L,P,4,0,0,0,GBP
31644,20944,20221130,10,C,FL001_P0,500,10,ENVIRON_IMPACT,5,SM,75,75000,35,NO,3000,ELEC,L,C,8,0,0,0,GBP
33970,22107,20221130,10,C,FL001_P0,500,10,LEAD_TIME,10,SM,25,75000,10,NO,3000,ELEC,L,P,4,0,0,0,GBP
34402,22323,20221130,10,C,FL001_P0,1000,10,OPERATING_COSTS,5,GR,50,75000,25,NO,3000,COMB,M,P,5,0,0,0,GBP
31958,21101,20221130,10,C,FL001_P0,500,10,LEAD_TIME,7,SM,50,75000,25,NO,3000,COMB,L,P,8,0,0,0,GBP
34512,22378,20221130,10,C,FL001_P0,1000,10,LEAD_TIME,7,AS,75,75000,25,NO,3000,COMB,M,P,5,0,0,0,GBP
34596,22420,20221130,10,C,FL001_P0,100,25,LEAD_TIME,10,AS,75,20000,20,NO,5000,COMB,L,P,2,0,0,0,GBP
33988,22116,20221130,10,C,FL001_P0,1000,10,LEAD_TIME,10,AS,25,75000,20,YES,5000,COMB,M,P,0,0,0,0,GBP
33674,21959,20221130,10,C,FL001_P0,1000,25,LEAD_TIME,7,AS,75,50000,20,NO,2000,COMB,M,P,5,0,0,0,GBP
31458,20851,20221130,10,C,FL001_P0,1000,25,OPERATING_COSTS,7,AS,75,50000,25,NO,3000,ELEC,M,P,6,0,0,0,GBP
32252,21248,20221130,10,C,FL001_P0,500,50,LEAD_TIME,7,AS,75,50000,35,NO,3000,COMB,L,P,5,0,0,0,GBP
34216,22230,20221130,10,C,FL001_P0,100,10,LEAD_TIME,7,AS,75,75000,20,NO,5000,ELEC,L,P,2,0,0,0,GBP
34382,22313,20221130,10,C,FL001_P0,1000,10,LEAD_TIME,7,GR,50,75000,35,NO,3000,ELEC,S,P,6,0,0,0,GBP
34614,22429,20221130,10,C,FL001_P0,1000,10,OPERATING_COSTS,10,AS,75,20000,35,NO,5000,COMB,S,P,0,0,0,0,GBP
35138,22691,20221130,10,C,FL001_P0,100,25,LEAD_TIME,10,AS,75,50000,35,NO,5000,COMB,M,P,9,0,0,0,GBP
34300,22272,20221130,10,C,FL001_P0,500,25,LEAD_TIME,10,AS,75,50000,35,NO,3000,COMB,M,P,1,0,0,0,GBP
31542,20893,20221130,10,C,FL001_P0,500,10,OPERATING_COSTS,7,AS,25,50000,20,NO,3000,COMB,M,P,3,0,0,0,GBP
32964,21604,20221130,10,C,FL001_P0,1000,25,LEAD_TIME,10,AS,75,50000,35,YES,3000,ELEC,L,P,7,0,0,0,GBP
32650,21447,20221130,10,C,FL001_P0,1000,50,LEAD_TIME,10,SM,75,50000,35,NO,5000,COMB,L,P,6,0,0,0,GBP
33596,21920,20221130,10,C,FL001_P0,1000,25,ENVIRON_IMPACT,7,GR,75,50000,25,NO,5000,ELEC,L,P,1,0,0,0,GBP
34494,22369,20221130,10,C,FL001_P0,1000,10,LEAD_TIME,10,AS,75,75000,35,YES,3000,ELEC,L,P,0,0,0,0,GBP
33486,21865,20221130,10,C,FL001_P0,1000,10,LEAD_TIME,10,AS,75,50000,25,NO,3000,ELEC,S,P,1,0,0,0,GBP
34902,22573,20221130,10,C,FL001_P0,50,50,LEAD_TIME,10,AS,75,20000,35,NO,2000,COMB,L,P,6,0,0,0,GBP
31482,20863,20221130,10,C,FL001_P0,100,10,LEAD_TIME,7,AS,75,75000,10,NO,3000,COMB,L,P,2,0,0,0,GBP
31372,20808,20221130,10,C,FL001_P0,1000,25,LEAD_TIME,7,SM,75,20000,25,NO,5000,COMB,M,C,7,0,0,0,GBP
35110,22677,20221130,10,C,FL001_P0,1000,10,OPERATING_COSTS,7,SM,50,75000,35,NO,3000,COMB,M,C,0,0,0,0,GBP
33470,21857,20221130,10,C,FL001_P0,500,25,LEAD_TIME,10,GR,25,20000,10,NO,3000,COMB,S,P,6,0,0,0,GBP
32462,21353,20221130,10,C,FL001_P0,50,10,OPERATING_COSTS,10,AS,75,75000,25,NO,3000,COMB,S,P,5,0,0,0,GBP
32572,21408,20221130,10,C,FL001_P0,1000,25,OPERATING_COSTS,7,GR,50,20000,25,NO,3000,ELEC,M,P,4,0,0,0,GBP
32682,21463,20221130,10,C,FL001_P0,1000,10,OPERATING_COSTS,10,GR,75,75000,35,NO,3000,COMB,L,P,4,0,0,0,GBP
32792,21518,20221130,10,C,FL001_P0,500,10,OPERATING_COSTS,7,SM,75,75000,35,YES,5000,ELEC,M,C,9,0,0,0,GBP
33608,21926,20221130,10,C,FL001_P0,100,10,OPERATING_COSTS,10,SM,50,75000,35,NO,3000,COMB,L,C,3,0,0,0,GBP
34506,22375,20221130,10,C,FL001_P0,1000,50,OPERATING_COSTS,10,SM,50,50000,20,NO,2000,COMB,L,C,4,0,0,0,GBP
34606,22425,20221130,10,C,FL001_P0,500,25,OPERATING_COSTS,5,SM,75,20000,35,NO,5000,ELEC,M,P,1,0,0,0,GBP
32396,21320,20221130,10,C,FL001_P0,1000,10,OPERATING_COSTS,10,SM,75,75000,35,NO,3000,COMB,L,P,9,0,0,0,GBP
33284,21764,20221130,10,C,FL001_P0,500,10,LEAD_TIME,7,GR,50,75000,20,NO,3000,COMB,M,P,4,0,0,0,GBP
32496,21370,20221130,10,C,FL001_P0,1000,50,OPERATING_COSTS,7,AS,75,20000,35,YES,3000,ELEC,L,P,9,0,0,0,GBP
31574,20909,20221130,10,C,FL001_P0,1000,10,ENVIRON_IMPACT,7,AS,50,75000,20,NO,3000,ELEC,M,P,4,0,0,0,GBP
32362,21303,20221130,10,C,FL001_P0,1000,25,OPERATING_COSTS,10,AS,25,50000,20,NO,3000,COMB,M,P,3,0,0,0,GBP
31354,20799,20221130,10,C,FL001_P0,500,10,OPERATING_COSTS,10,AS,75,75000,20,YES,3000,ELEC,M,P,9,0,0,0,GBP
32260,21252,20221130,10,C,FL001_P0,100,25,LEAD_TIME,10,SM,75,50000,35,NO,3000,COMB,L,C,0,0,0,0,GBP
32480,21362,20221130,10,C,FL001_P0,500,10,LEAD_TIME,10,AS,75,75000,25,NO,2000,ELEC,M,P,5,0,0,0,GBP
31692,20968,20221130,10,C,FL001_P0,100,10,ENVIRON_IMPACT,7,AS,50,50000,35,NO,5000,ELEC,S,P,4,0,0,0,GBP
31866,21055,20221130,10,C,FL001_P0,500,10,OPERATING_COSTS,10,GR,75,75000,20,YES,5000,ELEC,S,P,4,0,0,0,GBP
32784,21514,20221130,10,C,FL001_P0,1000,10,LEAD_TIME,10,AS,75,75000,35,YES,3000,COMB,L,P,8,0,0,0,GBP
32674,21459,20221130,10,C,FL001_P0,500,25,OPERATING_COSTS,10,SM,75,20000,25,YES,3000,ELEC,M,C,3,0,0,0,GBP
31362,20803,20221130,10,C,FL001_P0,1000,50,LEAD_TIME,10,AS,25,50000,20,NO,5000,COMB,L,P,2,0,0,0,GBP
35102,22673,20221130,10,C,FL001_P0,1000,10,LEAD_TIME,10,GR,75,50000,35,YES,3000,ELEC,M,P,0,0,0,0,GBP
34108,22176,20221130,10,C,FL001_P0,1000,10,LEAD_TIME,5,AS,50,75000,20,NO,3000,COMB,L,P,8,0,0,0,GBP
31490,20867,20221130,10,C,FL001_P0,500,10,OPERATING_COSTS,7,AS,75,75000,35,YES,5000,ELEC,M,P,8,0,0,0,GBP
32582,21413,20221130,10,C,FL001_P0,500,10,LEAD_TIME,7,AS,75,75000,20,NO,3000,COMB,S,P,5,0,0,0,GBP
32488,21366,20221130,10,C,FL001_P0,1000,10,ENVIRON_IMPACT,7,AS,50,75000,25,NO,3000,COMB,L,P,2,0,0,0,GBP
32598,21421,20221130,10,C,FL001_P0,500,50,ENVIRON_IMPACT,10,GR,75,50000,35,YES,3000,COMB,L,P,5,0,0,0,GBP
31760,21002,20221130,10,C,FL001_P0,1000,10,LEAD_TIME,10,GR,75,50000,35,NO,5000,COMB,S,P,3,0,0,0,GBP
32386,21315,20221130,10,C,FL001_P0,100,10,LEAD_TIME,5,AS,50,20000,35,NO,3000,ELEC,L,P,2,0,0,0,GBP
33394,21819,20221130,10,C,FL001_P0,1000,50,OPERATING_COSTS,10,AS,50,50000,35,NO,3000,COMB,L,P,6,0,0,0,GBP
33494,21869,20221130,10,C,FL001_P0,1000,10,LEAD_TIME,5,GR,75,50000,35,NO,3000,COMB,M,P,2,0,0,0,GBP
31364,20804,20221130,10,C,FL001_P0,100,10,LEAD_TIME,10,GR,50,75000,25,NO,5000,ELEC,L,P,9,0,0,0,GBP
33792,22018,20221130,10,C,FL001_P0,500,10,OPERATING_COSTS,10,GR,25,75000,20,NO,5000,COMB,M,P,8,0,0,0,GBP
33892,22068,20221130,10,C,FL001_P0,500,10,LEAD_TIME,7,AS,75,75000,35,NO,5000,COMB,M,P,8,0,0,0,GBP
32970,21607,20221130,10,C,FL001_P0,100,50,LEAD_TIME,10,AS,75,50000,35,NO,3000,COMB,M,P,3,0,0,0,GBP
32286,21265,20221130,10,C,FL001_P0,500,10,OPERATING_COSTS,10,AS,50,75000,20,NO,3000,COMB,M,P,2,0,0,0,GBP
34708,22476,20221130,10,C,FL001_P0,1000,10,OPERATING_COSTS,10,GR,50,75000,25,YES,5000,ELEC,L,P,9,0,0,0,GBP
32394,21319,20221130,10,C,FL001_P0,1000,10,LEAD_TIME,10,AS,25,75000,20,NO,3000,COMB,L,P,7,0,0,0,GBP
32898,21571,20221130,10,C,FL001_P0,1000,25,OPERATING_COSTS,10,SM,50,50000,35,NO,3000,COMB,L,P,2,0,0,0,GBP
32180,21212,20221130,10,C,FL001_P0,1000,10,LEAD_TIME,10,GR,75,75000,35,NO,5000,COMB,L,P,0,0,0,0,GBP
32070,21157,20221130,10,C,FL001_P0,500,50,LEAD_TIME,10,AS,50,50000,35,NO,5000,COMB,M,P,6,0,0,0,GBP
